,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731
E01017943,2,5,34,17,36,35,226,42,10,22,22,60,66
E01017944,7,4,17,6,23,69,129,30,20,22,8,41,46
E01017945,5,5,33,13,44,46,218,49,10,18,18,66,55
E01017946,5,2,21,13,25,72,144,31,18,18,13,39,44
E01017947,5,3,25,16,36,64,152,38,19,29,11,39,57
E01017948,6,2,22,17,21,68,142,45,24,31,8,35,53
E01017949,4,21,35,24,80,18,238,24,3,6,6,52,38
E01017950,5,7,19,24,64,12,177,20,10,7,3,47,40
E01017951,8,11,33,16,61,23,161,21,3,17,13,31,29
E01017952,18,13,37,29,51,28,131,19,8,17,10,25,31
E01017953,13,24,37,21,59,18,176,16,7,8,5,44,35
E01017954,13,15,35,29,38,20,147,22,6,12,5,32,40
E01017955,5,9,26,20,77,12,168,15,5,15,7,33,47
E01017956,1,4,19,9,56,1,148,10,4,3,4,37,31
E01017957,4,1,26,9,55,11,149,13,1,5,5,35,35
E01017958,1,4,9,4,59,3,206,9,4,3,1,37,26
E01017959,5,4,24,11,20,19,114,33,15,27,54,62,170
E01017960,2,1,20,5,12,17,75,27,5,27,41,39,120
E01017961,2,1,27,6,12,12,93,19,12,20,30,48,109
E01017962,4,4,22,15,16,27,111,18,25,23,36,55,125
E01017963,3,6,14,10,27,21,100,27,22,43,38,39,146
E01017964,3,2,12,9,18,24,89,30,9,33,43,35,92
E01017965,0,2,24,5,26,20,160,37,19,32,11,61,115
E01017966,2,3,38,11,40,21,231,49,22,56,54,142,179
E01017967,2,1,13,8,23,19,179,38,34,35,14,58,80
E01017968,2,4,23,4,25,19,137,22,12,48,13,60,115
E01017969,2,1,24,6,17,13,119,26,20,42,29,70,116
E01017971,16,10,84,21,31,25,137,33,15,8,10,39,37
E01017972,3,7,76,20,21,24,160,31,13,14,9,41,44
E01017973,11,13,59,24,34,29,158,34,11,23,7,38,49
E01017974,14,10,92,29,33,28,173,44,13,20,11,46,45
E01017975,30,6,45,30,34,32,125,26,9,16,8,47,45
E01017976,21,10,101,29,51,25,155,31,12,16,10,47,30
E01017977,40,9,65,31,47,18,178,27,11,14,8,39,42
E01017978,32,12,39,20,38,21,150,27,7,17,11,32,46
E01017979,49,16,57,26,35,25,142,21,12,16,12,20,36
E01017980,26,12,38,18,30,14,95,16,9,9,6,28,29
E01017983,4,7,23,10,45,11,256,26,8,11,35,62,74
E01017984,1,4,18,7,36,1,226,9,3,6,0,61,35
E01017985,1,3,12,5,48,6,238,17,5,6,10,68,38
E01017986,1,1,7,2,29,0,170,4,5,3,1,25,29
E01017987,0,2,16,11,40,11,188,44,6,20,8,82,71
E01017988,2,0,17,11,24,9,226,48,6,18,8,68,50
E01017989,9,3,51,20,43,22,292,100,15,25,10,67,77
E01017990,1,1,26,11,36,17,183,34,3,6,5,81,49
E01017991,1,5,11,8,22,9,174,48,8,13,5,50,38
E01017992,1,4,14,14,39,16,138,26,14,41,12,60,203
E01017993,4,1,13,5,26,7,118,26,7,28,4,64,433
E01017994,2,0,17,8,21,18,117,41,15,34,14,39,156
E01017995,2,1,11,8,21,16,109,23,11,13,10,46,152
E01017996,1,1,12,2,27,9,103,12,4,15,10,67,108
E01017997,2,7,45,23,50,45,242,68,50,31,23,102,120
E01017998,2,1,27,9,47,23,240,40,34,20,13,85,88
E01017999,8,1,20,20,25,22,190,42,44,26,15,76,84
E01018000,3,5,45,15,34,17,226,41,30,30,9,77,93
E01018001,4,1,39,15,41,26,208,59,33,19,10,85,100
E01018002,2,1,19,11,20,11,129,18,10,6,9,114,141
E01018003,0,5,16,7,17,10,136,28,7,14,13,101,104
E01018005,2,4,10,8,26,7,171,30,3,15,4,99,77
E01018006,11,4,58,37,42,13,198,28,7,12,10,65,57
E01018007,6,7,47,28,40,20,191,27,6,4,8,54,40
E01018008,1,3,44,29,31,13,224,21,3,13,14,54,42
E01018009,6,7,33,37,60,16,226,30,8,12,6,55,46
E01018010,0,4,50,31,52,18,243,23,8,14,17,76,48
E01032792,6,3,64,12,25,11,121,23,6,18,10,59,41
E01032794,0,1,10,3,25,4,118,18,4,9,6,52,62
E01032795,0,3,16,9,17,6,114,28,9,10,11,78,93
E01032797,2,3,20,7,41,12,272,26,5,12,10,68,52
E01032802,7,6,60,14,23,15,148,24,13,13,5,43,35
