Location,Lat,Lon,p,e
"City of London	City of London	London",51.512344,-0.090985,6140,99390
"Abbey	Barking and Dagenham	London",51.481942,0.126251,4770,38870
"Alibon	Barking and Dagenham	London",51.547616,0.151888,4120,37290
"Becontree	Barking and Dagenham	London",51.550437,0.131144,4580,37860
"Chadwell Heath	Barking and Dagenham	London",51.572228,0.141995,4070,38860
"Eastbrook	Barking and Dagenham	London",51.551343,0.165792,4010,42780
"Eastbury	Barking and Dagenham	London",51.534017,0.099424,4320,37720
"Gascoigne	Barking and Dagenham	London",51.531498,0.080927,4710,34140
"Goresbrook	Barking and Dagenham	London",51.5342,0.131158,4340,38130
"Heath	Barking and Dagenham	London",51.572228,0.141995,4450,36080
"Longbridge	Barking and Dagenham	London",51.540336,0.08261,3820,46520
"Mayesbrook	Barking and Dagenham	London",51.532831,0.099395,3980,36280
"Parsloes	Barking and Dagenham	London",51.546175,0.138953,3750,36640
"River	Barking and Dagenham	London",51.52141,0.096781,3990,38390
"Thames	Barking and Dagenham	London",51.522029,0.101013,4050,37400
"Valence	Barking and Dagenham	London",51.555527,0.130325,4220,38080
"Village	Barking and Dagenham	London",51.536563,0.075766,4610,36740
"Whalebone	Barking and Dagenham	London",51.574506,0.143712,4090,42530
"Brunswick Park	Barnet	London",51.624723,-0.154687,6040,53440
"Burnt Oak	Barnet	London",51.605694,-0.261644,6660,39000
"Childs Hill	Barnet	London",51.564268,-0.194796,7960,52190
"Colindale	Barnet	London",51.589691,-0.249103,7010,39990
"Coppetts	Barnet	London",51.602015,-0.153156,6960,50910
"East Barnet	Barnet	London",51.631068,-0.151271,6740,53550
"East Finchley	Barnet	London",51.58763,-0.164262,6730,55480
"Edgware	Barnet	London",51.615786,-0.262034,6230,51380
"Finchley Church End	Barnet	London",51.598282,-0.198414,6400,61510
"Garden Suburb	Barnet	London",51.58306,-0.175161,6580,74940
"Golders Green	Barnet	London",51.575666,-0.198171,6290,54940
"Hale	Barnet	London",51.615174,-0.255032,6250,51650
"Hendon	Barnet	London",51.586246,-0.220009,7270,51560
"High Barnet	Barnet	London",51.659247,-0.206675,6790,59790
"Mill Hill	Barnet	London",51.617289,-0.221389,7100,56660
"Oakleigh	Barnet	London",51.631449,-0.165447,6470,56260
"Totteridge	Barnet	London",51.633474,-0.202507,6140,63320
"Underhill	Barnet	London",51.641778,-0.186249,6460,49390
"West Finchley	Barnet	London",51.602785,-0.191554,6780,56850
"West Hendon	Barnet	London",51.578336,-0.252671,6350,46620
"Woodhouse	Barnet	London",51.611381,-0.166878,6920,51100
"Barnehurst	Bexley	London",51.460893,0.165643,4300,45990
"Belvedere	Bexley	London",51.485165,0.14827,5100,40110
"Blackfen and Lamorbey	Bexley	London",51.437118,0.094354,4210,49390
"Blendon and Penhill	Bexley	London",51.447872,0.117763,4320,48800
"Brampton	Bexley	London",51.473336,0.127858,4170,49400
"Christchurch	Bexley	London",51.429048,0.097661,4640,48590
"Colyers	Bexley	London",51.471635,0.171184,4530,41250
"Crayford	Bexley	London",51.450113,0.182205,4920,41810
"Cray Meadows	Bexley	London",51.435811,0.148277,4810,42600
"Danson Park	Bexley	London",51.455769,0.122606,4540,46480
"East Wickham	Bexley	London",51.471627,0.10894,4350,43510
"Erith	Bexley	London",51.480818,0.174675,5120,39690
"Falconwood and Welling	Bexley	London",51.463641,0.0926,4290,47030
"Lesnes Abbey	Bexley	London",51.488938,0.128743,4530,42710
"Longlands	Bexley	London",51.43121,0.075904,4580,49520
"North End	Bexley	London",51.468626,0.181029,4730,35880
"Northumberland Heath	Bexley	London",51.472272,0.163438,4180,44610
"St. Mary's	Bexley	London",51.437465,0.161626,4410,53800
"St. Michael's	Bexley	London",51.471087,0.110974,4100,46390
"Sidcup	Bexley	London",51.426486,0.100939,4770,49970
"Thamesmead East	Bexley	London",51.503559,0.119933,4900,38410
"Alperton	Brent	London",51.539896,-0.290454,4580,38550
"Barnhill	Brent	London",51.564232,-0.262958,5560,42740
"Brondesbury Park	Brent	London",51.541303,-0.214792,5450,49860
"Dollis Hill	Brent	London",51.561246,-0.230969,4360,38230
"Dudden Hill	Brent	London",51.55418,-0.243959,5320,41280
"Fryent	Brent	London",51.579958,-0.277981,4420,43960
"Harlesden	Brent	London",51.534933,-0.247334,6540,33620
"Kensal Green	Brent	London",51.53053,-0.22463,5910,42750
"Kenton	Brent	London",51.580677,-0.301482,3950,52870
"Kilburn	Brent	London",51.546895,-0.204093,7940,42280
"Mapesbury	Brent	London",51.54701,-0.210532,6350,45580
"Northwick Park	Brent	London",51.567281,-0.271057,3960,51340
"Preston	Brent	London",51.573793,-0.298865,5110,44440
"Queens Park	Brent	London",51.533381,-0.208923,6150,53850
"Queensbury	Brent	London",51.591869,-0.290707,4780,43360
"Stonebridge	Brent	London",51.543113,-0.25883,6200,32250
"Sudbury	Brent	London",51.560859,-0.328099,5030,41350
"Tokyngton	Brent	London",51.547268,-0.277159,5450,40860
"Welsh Harp	Brent	London",51.579738,-0.241504,4910,39000
"Wembley Central	Brent	London",51.551615,-0.29571,4500,38290
"Willesden Green	Brent	London",51.543974,-0.22953,6020,38710
"Bickley	Bromley	London",51.401857,0.052503,6220,61330
"Biggin Hill	Bromley	London",51.312059,0.032802,4060,52070
"Bromley Common and Keston	Bromley	London",51.383845,0.039219,6540,51480
"Bromley Town	Bromley	London",51.406025,0.013156,7890,55730
"Chelsfield and Pratts Bottom	Bromley	London",51.340472,0.112327,5930,57790
"Chislehurst	Bromley	London",51.412626,0.077487,6480,59910
"Clock House	Bromley	London",51.40858,-0.04063,7210,53100
"Copers Cope	Bromley	London",51.412205,-0.024042,8500,55310
"Cray Valley East	Bromley	London",51.391736,0.104593,6970,40390
"Cray Valley West	Bromley	London",51.391736,0.104593,6900,39760
"Crystal Palace	Bromley	London",51.419883,-0.078542,6320,42730
"Darwin	Bromley	London",51.414784,-0.034058,2150,54780
"Farnborough and Crofton	Bromley	London",51.366109,0.053105,6350,57400
"Hayes and Coney Hall	Bromley	London",51.371054,-0.001278,6280,59000
"Kelsey and Eden Park	Bromley	London",51.401926,-0.030156,6560,57560
"Mottingham and Chislehurst North	Bromley	London",51.435475,0.041365,4500,40510
"Orpington	Bromley	London",51.374843,0.094214,6540,48100
"Penge and Cator	Bromley	London",51.408434,-0.032854,7810,45390
"Petts Wood and Knoll	Bromley	London",51.37632,0.092636,5580,63410
"Plaistow and Sundridge	Bromley	London",51.406381,0.033906,6840,50000
"Shortlands	Bromley	London",51.399212,0.004141,4300,62610
"West Wickham	Bromley	London",51.375798,-0.014861,5870,59830
"Belsize	Camden	London",51.548974,-0.169787,6490,84280
"Bloomsbury	Camden	London",51.519205,-0.124262,5450,62190
"Camden Town with Primrose Hill	Camden	London",51.538449,-0.154993,6320,71650
"Cantelowes	Camden	London",51.545164,-0.129838,5320,60060
"Fortune Green	Camden	London",51.555445,-0.19444,5280,73370
"Frognal and Fitzjohns	Camden	London",51.551706,-0.158826,5480,99430
"Gospel Oak	Camden	London",51.556394,-0.148184,4930,61590
"Hampstead Town	Camden	London",51.549856,-0.18176,5560,104710
"Haverstock	Camden	London",51.547859,-0.160552,5410,54740
"Highgate	Camden	London",51.571188,-0.149069,5010,75250
"Holborn and Covent Garden	Camden	London",51.517935,-0.109928,6850,61920
"Kentish Town	Camden	London",51.547304,-0.142005,5720,63670
"Kilburn	Camden	London",51.537076,-0.191135,6200,53190
"King's Cross	Camden	London",51.533334,-0.132231,5040,50390
"Regent's Park	Camden	London",51.532692,-0.141995,6000,52460
"St. Pancras and Somers Town	Camden	London",51.53989,-0.135574,5760,46850
"Swiss Cottage	Camden	London",51.543532,-0.174862,6630,79860
"West Hampstead	Camden	London",51.547358,-0.190436,5880,72450
