,Estimate!!Total housing units,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!Median age (years),"Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level,Total!!Estimate!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),Total!!Estimate!!Median earnings (dollars),Total!!Estimate!!HOUSEHOLDS!!Households,Join_Count,Join_Count2,Join_Count3,Join_Count4,Join_Count5,Join_Count6,Join_Count7,Join_Count8,Join_Count9,Join_Count10,Join_Count11,Join_Count12,Join_Count13,Join_Count14,Join_Count15,Join_Count16,Join_Count17,Join_Count18,Join_Count19,Join_Count20,Join_Count21,Join_Count22,Join_Count23,Join_Count24,Join_Count25,Join_Count26,Join_Count27,Join_Count28,Join_Count29,Join_Count30,Join_Count31,Join_Count32,Join_Count33,Join_Count34,Join_Count35,Join_Count36
11001000100,2965,5209,2388,2821,4262,4156,737,36.8,51.1,2238,7.4,284,20.9,799,69.5,2656,3.6,2.5,93.9,20.2,25.0,0.0,0.0,2435,16,17,10,2,2,134,10,3,28,1,11,3,16,7,0,3,2,35,19,46,6,0,2,2,0,0,14,20,1,6,0,0,31,9,0,0
11001000201,3,3685,1582,2103,3658,572,3,19.7,0.7,24,29.0,18,0.0,0,54.8,34,77.5,0.0,22.5,6.5,11.1,11.1,0.0,3,1,0,7,1,2,38,12,0,5,0,1,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,8,6,0,0,0,0,3,0,6,0
11001000202,1969,4817,2195,2622,4343,3644,551,24.9,27.2,1200,2.3,55,33.9,809,60.9,1452,22.5,2.8,74.6,31.0,21.2,21.2,0.0,1727,1,31,11,1,0,72,17,6,8,0,2,6,16,12,1,1,5,26,9,44,7,3,1,1,0,1,8,12,1,5,0,0,6,5,2,0
11001000300,2685,6095,2853,3242,5343,5332,564,32.4,35.3,1898,5.4,232,33.5,1438,53.8,2310,15.4,4.7,79.9,22.7,27.0,0.0,0.0,2601,3,1,1,1,1,67,12,2,0,0,0,0,2,8,0,0,1,12,2,0,0,0,2,0,0,0,4,1,0,1,0,0,1,1,0,0
11001000400,719,1578,807,771,1296,1283,331,45.9,57.6,776,10.6,132,21.6,270,57.2,715,9.9,1.1,89.0,7.2,25.5,0.0,0.0,650,0,0,1,2,0,136,6,1,15,0,2,0,3,1,0,0,0,5,2,0,0,0,0,2,0,1,24,5,1,13,0,0,9,1,0,0
11001000501,2124,3502,1582,1920,3153,3072,473,34.3,37.6,1186,5.7,160,28.5,799,61.8,1733,6.4,3.6,90.0,46.3,28.4,0.0,72122.0,1968,4,23,4,3,2,92,5,2,2,0,2,2,5,16,0,1,1,19,2,1,2,0,1,0,0,1,4,9,0,1,2,0,163,1,0,0
11001000502,1783,2973,1186,1787,2606,2597,426,36.9,37.0,1001,6.0,145,30.2,732,60.3,1462,2.1,3.1,94.8,52.0,27.4,0.0,0.0,1583,0,1,1,0,1,36,2,1,3,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,0
11001000600,2374,4722,2040,2682,3983,3983,891,45.2,45.8,1841,7.2,277,27.6,1061,58.7,2256,8.9,2.0,89.1,40.8,28.8,0.0,0.0,2157,1,0,1,0,1,64,10,8,1,0,0,0,0,2,0,0,0,6,4,0,1,0,0,0,2,0,30,1,2,1,0,0,1,0,2,0
11001000701,3720,5245,1854,3391,4765,4753,1388,48.1,39.0,1859,7.0,316,34.0,1527,49.8,2237,9.9,3.7,86.4,25.9,25.8,0.0,69221.0,3343,0,0,0,0,0,102,1,0,4,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11001000702,2440,3316,1433,1883,3102,3019,335,29.2,21.6,674,14.0,383,39.0,1066,41.3,1128,12.5,2.4,85.1,34.5,34.5,34.5,0.0,2112,0,0,1,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
11001000801,3025,6575,3054,3521,5480,4937,1191,41.1,43.1,2460,9.4,393,33.4,1405,53.2,2235,14.0,2.7,83.2,11.4,25.5,0.0,0.0,2869,1,1,2,0,2,190,14,0,4,0,0,0,2,0,0,0,0,8,1,0,0,1,0,2,0,0,15,4,2,0,0,0,4,3,2,6
11001000802,1451,3153,1546,1607,2518,2518,423,35.3,41.9,1101,7.2,163,38.3,872,47.3,1078,14.0,3.0,82.9,19.4,29.3,29.3,0.0,1385,0,0,1,0,0,88,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,1,0,0,0
11001000901,1633,7790,3273,4517,6694,3662,1125,20.7,34.9,2408,9.3,305,28.6,935,56.5,1844,10.9,1.7,87.4,17.1,27.3,27.3,0.0,1591,4,1,26,2,3,103,7,1,4,0,0,0,6,2,0,0,0,2,0,0,0,0,0,0,0,0,12,4,2,2,0,0,1,0,0,16
11001000902,899,2455,1188,1267,1705,1705,366,42.5,60.5,1125,12.0,202,24.0,402,58.9,988,1.7,4.1,94.2,10.6,28.5,28.5,0.0,863,1,1,0,0,0,50,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0
11001001001,2849,7894,3778,4116,5922,5535,1299,41.6,54.0,3344,7.8,406,31.7,1647,55.6,2889,4.7,0.4,94.9,30.6,29.6,29.6,94935.0,2832,9,0,7,1,1,114,13,4,15,0,0,0,2,6,0,0,2,10,1,1,0,1,0,8,0,1,9,3,0,0,0,0,1,1,0,2
11001001002,2176,3497,1580,1917,3198,2688,214,29.7,30.1,967,10.9,230,30.7,650,50.7,1071,28.3,2.6,69.1,30.4,26.9,26.9,0.0,1889,3,3,1,1,3,63,3,4,2,1,0,1,2,2,0,0,0,6,5,2,0,1,2,2,0,1,5,0,1,1,0,0,1,2,0,0
11001001100,2260,4817,2211,2606,3844,3769,976,42.8,62.4,2448,7.1,257,36.8,1327,50.3,1813,4.0,0.9,95.1,38.6,30.5,30.5,97695.0,2056,12,1,10,3,3,131,14,8,6,0,1,1,6,9,0,0,0,12,5,9,0,0,2,5,0,2,17,8,0,3,0,1,1,5,0,0
11001001200,2618,4908,2513,2395,4061,4043,702,38.5,40.9,1694,7.1,276,35.6,1375,49.3,1904,5.2,2.5,92.4,47.8,29.2,0.0,77045.0,2484,2,0,6,0,0,122,6,0,1,0,1,0,1,5,0,0,0,4,1,0,0,0,0,0,0,0,12,3,1,36,0,0,1,1,0,0
11001001301,2074,4016,1813,2203,3441,3441,702,35.5,44.7,1579,3.8,120,28.8,908,65.0,2050,6.4,1.7,91.9,49.8,31.1,0.0,0.0,1966,0,1,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,2,0,0,0,11,0,0,0
11001001302,5270,7591,3270,4321,7071,6918,1345,35.6,30.8,2178,9.6,619,30.0,1931,57.3,3693,10.8,2.2,87.0,54.2,27.4,0.0,0.0,4730,3,4,6,0,3,152,7,3,2,0,0,0,1,1,0,1,2,24,4,1,2,0,0,5,0,1,14,9,1,2,0,0,6,5,12,0
11001001401,1512,3369,1451,1918,2606,2526,445,39.3,53.6,1462,7.9,191,33.7,815,54.8,1326,7.4,0.4,92.2,35.3,32.4,0.0,0.0,1506,1,0,1,0,0,31,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0
